"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","condition_name","participant","rt","stimulus","response","phase","trial_number","species_key","human_n","species_n","optionA_label","optionB_label","swap","left_is","right_is","left_label","middle_label","right_label","choice_options","comparison_label","chosen_option","choice_kind","saved_human","saved_animal","human_chosen","task","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","6535","po8sah3zuhe","po8sah3zuhe","You","giraffe","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","8734","po8sah3zuhe","po8sah3zuhe","You","giraffe","2197","Welcome to the experiment. Press any key to begin.","ArrowRight","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","2","2.0.0","12035","po8sah3zuhe","po8sah3zuhe","You","giraffe","3297","","{""participant_id"":""giraffe""}","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","2.0.0","14836","po8sah3zuhe","po8sah3zuhe","You","giraffe","1791","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","17388","po8sah3zuhe","po8sah3zuhe","You","giraffe","2551","<p>You will be asked you some moral questions in which you have to make
                choices. These questions can be hard to decide. There is no right or wrong
                answer - choose whatever you personally think is right. Please
                carefully consider each question.</p>
                <p>Press any key to begin.</p>"," ","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","2.0.0","18900","po8sah3zuhe","po8sah3zuhe","You","giraffe","1510","
      <p>
        Imagine a situation involving two boats, one with humans and one with animals. Both of these boats are sinking.
        Unfortunately, the species on either of these boats are unable to swim. However, You can
        choose one boat to save. Once You chooses a boat, the people or animals on that boat will
        be safe, but the people or animals on the other boat will not survive.
      </p>

      <div style=""display: flex; justify-content: center; align-items: center; gap: 40px; margin-top: 30px;"">
        <img src=""stimuli/boat.png"" style=""width:150px;"">
        <img src=""stimuli/cant decide.png"" style=""width:150px;"">
        <img src=""stimuli/boat.png"" style=""width:150px;"">
      </div>
    "," ","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","2.0.0","22047","po8sah3zuhe","po8sah3zuhe","You","giraffe","3144","On one boat there is <b>1 person</b> and the other boat there is <b>10 pigs</b>.
                 Will <b>You</b> save...","2","main_choice","0","pig","1","10","1 person","10 pigs","true","B","A","10 pigs","Can't decide","1 person","[""10 pigs"",""Can't decide"",""1 person""]","1 person vs 10 pigs","1 person","human","1","0","1","",""
"","","","","","html-keyboard-response","7","2.0.0","22555","po8sah3zuhe","po8sah3zuhe","You","giraffe","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","8","2.0.0","24605","po8sah3zuhe","po8sah3zuhe","You","giraffe","2048","On one boat there is <b>10 people</b> and the other boat there is <b>100 pigeons</b>.
                 Will <b>You</b> save...","0","main_choice","1","pigeon","10","100","10 people","100 pigeons","false","A","B","10 people","Can't decide","100 pigeons","[""10 people"",""Can't decide"",""100 pigeons""]","10 people vs 100 pigeons","10 people","human","1","0","1","",""
"","","","","","html-keyboard-response","9","2.0.0","25109","po8sah3zuhe","po8sah3zuhe","You","giraffe","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","10","2.0.0","26852","po8sah3zuhe","po8sah3zuhe","You","giraffe","1741","On one boat there is <b>100 people</b> and the other boat there is <b>1 bunny</b>.
                 Will <b>You</b> save...","2","main_choice","2","bunny","100","1","100 people","1 bunny","true","B","A","1 bunny","Can't decide","100 people","[""1 bunny"",""Can't decide"",""100 people""]","100 people vs 1 bunny","100 people","human","1","0","1","",""
"","","","","","html-keyboard-response","11","2.0.0","27355","po8sah3zuhe","po8sah3zuhe","You","giraffe","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","12","2.0.0","33420","po8sah3zuhe","po8sah3zuhe","You","giraffe","6063","On one boat there is <b>1 person</b> and the other boat there is <b>100 dogs</b>.
                 Will <b>You</b> save...","2","main_choice","3","dog","1","100","1 person","100 dogs","true","B","A","100 dogs","Can't decide","1 person","[""100 dogs"",""Can't decide"",""1 person""]","1 person vs 100 dogs","1 person","human","1","0","1","",""
"","","","","","html-keyboard-response","13","2.0.0","33937","po8sah3zuhe","po8sah3zuhe","You","giraffe","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","14","2.0.0","37089","po8sah3zuhe","po8sah3zuhe","You","giraffe","3150","On one boat there is <b>100 people</b> and the other boat there is <b>10 dogs</b>.
                 Will <b>You</b> save...","2","main_choice","4","dog","100","10","100 people","10 dogs","true","B","A","10 dogs","Can't decide","100 people","[""10 dogs"",""Can't decide"",""100 people""]","100 people vs 10 dogs","100 people","human","1","0","1","",""
"","","","","","html-keyboard-response","15","2.0.0","37593","po8sah3zuhe","po8sah3zuhe","You","giraffe","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","16","2.0.0","47431","po8sah3zuhe","po8sah3zuhe","You","giraffe","9836","On one boat there is <b>1 person</b> and the other boat there is <b>1 pigeon</b>.
                 Will <b>You</b> save...","2","main_choice","5","pigeon","1","1","1 person","1 pigeon","true","B","A","1 pigeon","Can't decide","1 person","[""1 pigeon"",""Can't decide"",""1 person""]","1 person vs 1 pigeon","1 person","human","1","0","1","",""
"","","","","","html-keyboard-response","17","2.0.0","47935","po8sah3zuhe","po8sah3zuhe","You","giraffe","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","18","2.0.0","55883","po8sah3zuhe","po8sah3zuhe","You","giraffe","7946","On one boat there is <b>1 person</b> and the other boat there is <b>1 bunny</b>.
                 Will <b>You</b> save...","2","main_choice","6","bunny","1","1","1 person","1 bunny","true","B","A","1 bunny","Can't decide","1 person","[""1 bunny"",""Can't decide"",""1 person""]","1 person vs 1 bunny","1 person","human","1","0","1","",""
"","","","","","html-keyboard-response","19","2.0.0","56398","po8sah3zuhe","po8sah3zuhe","You","giraffe","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","20","2.0.0","58328","po8sah3zuhe","po8sah3zuhe","You","giraffe","1929","On one boat there is <b>1 person</b> and the other boat there is <b>10 pigeons</b>.
                 Will <b>You</b> save...","0","main_choice","7","pigeon","1","10","1 person","10 pigeons","false","A","B","1 person","Can't decide","10 pigeons","[""1 person"",""Can't decide"",""10 pigeons""]","1 person vs 10 pigeons","1 person","human","1","0","1","",""
"","","","","","html-keyboard-response","21","2.0.0","58844","po8sah3zuhe","po8sah3zuhe","You","giraffe","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","22","2.0.0","61026","po8sah3zuhe","po8sah3zuhe","You","giraffe","2180","On one boat there is <b>1 person</b> and the other boat there is <b>10 cats</b>.
                 Will <b>You</b> save...","0","main_choice","8","cat","1","10","1 person","10 cats","false","A","B","1 person","Can't decide","10 cats","[""1 person"",""Can't decide"",""10 cats""]","1 person vs 10 cats","1 person","human","1","0","1","",""
"","","","","","html-keyboard-response","23","2.0.0","61535","po8sah3zuhe","po8sah3zuhe","You","giraffe","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","24","2.0.0","62724","po8sah3zuhe","po8sah3zuhe","You","giraffe","1187","On one boat there is <b>100 people</b> and the other boat there is <b>10 pigeons</b>.
                 Will <b>You</b> save...","0","main_choice","9","pigeon","100","10","100 people","10 pigeons","false","A","B","100 people","Can't decide","10 pigeons","[""100 people"",""Can't decide"",""10 pigeons""]","100 people vs 10 pigeons","100 people","human","1","0","1","",""
"","","","","","html-keyboard-response","25","2.0.0","63233","po8sah3zuhe","po8sah3zuhe","You","giraffe","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
"","","","","","html-button-response","26","2.0.0","64560","po8sah3zuhe","po8sah3zuhe","You","giraffe","1325","On one boat there is <b>1 person</b> and the other boat there is <b>100 pigs</b>.
                 Will <b>You</b> save...","2","main_choice","10","pig","1","100","1 person","100 pigs","true","B","A","100 pigs","Can't decide","1 person","[""100 pigs"",""Can't decide"",""1 person""]","1 person vs 100 pigs","1 person","human","1","0","1","",""
"","","","","","html-keyboard-response","27","2.0.0","65063","po8sah3zuhe","po8sah3zuhe","You","giraffe","null","<div style=""font-size:40px; opacity:0.6;"">+</div>","null","","","","","","","","","","","","","","","","","","","","","iti",""
